,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Yellapur,IN,14.9667,74.7167,81.81,71,74,4.25,broken clouds
325,Otradnoye,RU,59.7775,30.8181,33.04,70,44,4.41,scattered clouds
326,Ordubad,AZ,38.9059,46.0234,61.59,66,10,4.74,clear sky
327,Truro,GB,50.2653,-5.0544,45.68,76,75,3.44,broken clouds
328,Cap Malheureux,MU,-19.9842,57.6142,73.47,82,4,4.54,moderate rain
329,Fort Nelson,CA,58.8053,-122.7002,33.39,93,100,11.5,overcast clouds
330,Palana,RU,59.1167,159.9667,35.1,72,55,20.18,broken clouds
331,Cajuru,BR,-21.2753,-47.3042,64.74,75,3,4.74,clear sky
332,Taltal,CL,-25.4,-70.4833,65.48,65,1,1.43,clear sky
333,Waingapu,ID,-9.6567,120.2641,83.7,63,87,4.79,overcast clouds
334,Agucadoura,PT,41.4318,-8.7804,55.24,91,5,4.65,clear sky
335,Marovoay,MG,-16.1,46.6333,72.9,89,62,4.16,broken clouds
336,Kermen,BG,42.5,26.25,49.82,87,20,4.61,few clouds
337,Ormara,PK,25.2088,64.6357,83.44,77,3,10.71,clear sky
338,Belyy Yar,RU,53.6039,91.3903,48.85,52,0,4.47,clear sky
339,Leh,IN,34.1667,77.5833,44.51,49,0,4.52,clear sky
340,Mantua,IT,45.1667,10.7833,54.64,82,0,3.0,clear sky
341,Gamba,GA,-2.65,10.0,74.79,90,94,4.34,overcast clouds
342,Esmeraldas,BR,-19.7625,-44.3139,67.06,83,0,4.74,clear sky
343,Talnakh,RU,69.4865,88.3972,27.21,100,100,6.58,snow
344,Washougal,US,45.5826,-122.3534,54.03,73,75,4.61,broken clouds
345,Sterling,US,39.0062,-77.4286,47.19,52,20,18.41,few clouds
346,Rockland,US,41.1668,-74.0496,43.03,53,5,5.99,clear sky
